baseline,mass,friction,noise,delay,disturbance,seed,diverged,stability_margin,learning_drift,rmse_tracking,recovery_time,control_effort,smoothness,tag
B0,0.5,0.1,0.0,0,impulse,0,False,1.0,0.0,0.09982520201080809,2.98,16.484181017472896,3.534868580024274,OK
B0,0.5,0.1,0.0,0,impulse,1,False,1.0,0.0,0.09982518922747073,2.34,16.48420000067304,3.5348685443977512,OK
B0,0.5,0.1,0.0,0,impulse,2,False,1.0,0.0,0.09982523529239741,2.14,16.48413159456891,3.5348686727769776,OK
B0,0.5,0.1,0.0,0,impulse,3,False,1.0,0.0,0.09982519844197509,2.6,16.48418631717939,3.534868570078058,OK
B0,0.5,0.1,0.0,0,impulse,4,False,1.0,0.0,0.09982520728450422,2.6,16.48417318604832,3.534868594721896,OK
B0,0.5,0.1,0.0,0,impulse,5,False,1.0,0.0,0.0998252028025552,3.59,16.484179841730263,3.5348685822308488,OK
B0,0.5,0.1,0.0,0,impulse,6,False,1.0,0.0,0.09982520296981218,3.46,16.48417959335417,3.534868582696993,OK
B0,0.5,0.1,0.0,0,impulse,7,False,1.0,0.0,0.09982520456800527,2.82,16.484177220041566,3.5348685871511094,OK
B0,0.5,0.1,0.0,0,impulse,8,False,1.0,0.0,0.09982519804185105,2.58,16.484186911362116,3.534868568962929,OK
B0,0.5,0.1,0.0,0,impulse,9,False,1.0,0.0,0.09982520322166893,3.18,16.48417921934743,3.53486858339891,OK
B0,0.5,0.1,0.0,0,impulse,10,False,1.0,0.0,0.09982520296981218,3.46,16.48417959335417,3.534868582696993,OK
B0,0.5,0.1,0.0,0,impulse,11,False,1.0,0.0,0.09982520245506905,3.15,16.484180357746315,3.534868581262419,OK
B0,0.5,0.1,0.0,0,impulse,12,False,1.0,0.0,0.0998252025484904,3.21,16.48418021901596,3.5348685815227796,OK
B0,0.5,0.1,0.0,0,impulse,13,False,1.0,0.0,0.09982519945390515,2.66,16.48418481446661,3.534868572898269,OK
B0,0.5,0.1,0.0,0,impulse,14,False,1.0,0.0,0.09982518439738955,2.27,16.484207173306224,3.5348685309367402,OK
B0,0.5,0.1,0.0,0,impulse,15,False,1.0,0.0,0.09982519687586827,2.5300000000000002,16.484188642842383,3.5348685657133854,OK
B0,0.5,0.1,0.0,0,impulse,16,False,1.0,0.0,0.09982520396868315,2.92,16.484178110033234,3.5348685854808144,OK
B0,0.5,0.1,0.0,0,impulse,17,False,1.0,0.0,0.09982520267608053,3.33,16.484180029544806,3.53486858187837,OK
B0,0.5,0.1,0.0,0,impulse,18,False,1.0,0.0,0.09982519475501285,2.46,16.48419179230381,3.534868559802658,OK
B0,0.5,0.1,0.0,0,impulse,19,False,1.0,0.0,0.09982520283014963,3.73,16.48417980075266,3.534868582307759,OK
B0,0.5,0.1,0.0,0,step,0,False,1.0,0.0,0.10116140337766145,3.94,18.571112451666497,3.536033765254036,OK
B0,0.5,0.1,0.0,0,step,1,False,1.0,0.0,0.10116140192758546,3.45,18.57111463384939,3.536033761158624,OK
B0,0.5,0.1,0.0,0,step,2,False,1.0,0.0,0.10116114769111086,2.23,18.571497227070356,3.5360330431298213,OK
B0,0.5,0.1,0.0,0,step,3,False,1.0,0.0,0.10116140422124646,3.5100000000000002,18.571111182176598,3.536033767636555,OK
B0,0.5,0.1,0.0,0,step,4,False,1.0,0.0,0.10116142785758563,2.77,18.571075612441874,3.536033834392094,OK
B0,0.5,0.1,0.0,0,step,5,False,1.0,0.0,0.10116136179348101,2.65,18.571175030635324,3.5360336478089143,OK
B0,0.5,0.1,0.0,0,step,6,False,1.0,0.0,0.10116169421506326,2.2,18.57067477764866,3.5360345866544924,OK
B0,0.5,0.1,0.0,0,step,7,False,1.0,0.0,0.10116153665199352,2.38,18.570911890423858,3.5360341416568866,OK
B0,0.5,0.1,0.0,0,step,8,False,1.0,0.0,0.1011614150186028,2.94,18.571094933506156,3.5360337981312693,OK
B0,0.5,0.1,0.0,0,step,9,False,1.0,0.0,0.10116140402677326,3.56,18.571111474834485,3.536033767087309,OK
B0,0.5,0.1,0.0,0,step,10,False,1.0,0.0,0.10116091385290563,2.08,18.57184912164362,3.536032382724629,OK
B0,0.5,0.1,0.0,0,step,11,False,1.0,0.0,0.10116140181038512,3.43,18.571114810221204,3.5360337608276167,OK
B0,0.5,0.1,0.0,0,step,12,False,1.0,0.0,0.10116136684222082,2.68,18.571167432918095,3.5360336620679242,OK
B0,0.5,0.1,0.0,0,step,13,False,1.0,0.0,0.1011613751688927,2.74,18.57115490232479,3.5360336855847243,OK
